ip_address,duration,location_latitude,location_longitude,student,college,year,age,gender,major_one,major_two,athlete,greek,politics,religious,religion,partners,partners_college,relationship
209.147.148.20,71,33.41479492,-111.9093018,Yes,Arizona State University ,Junior,21,Male,Mechanical Engineering,NA,No,Yes,Neither,No,NA,3,2,Yes
24.4.127.216,71,37.38450623,-122.0881042,Yes,California Polytechnic State University,Sophomore,19,Female,Child Development,NA,No,No,Neither,No,NA,3,1,Yes
128.237.166.43,93,40.44389343,-79.95610046,Yes,Carnegie Mellon University,Senior,21,Other,Biology,NA,No,No,Very Liberal,Yes,Christianity,0,0,No
45.37.68.129,200,35.94659424,-78.79769897,Yes,Duke University,Senior,21,Male,Biology,NA,No,Yes,Somewhat Liberal,No,NA,36,22,No
69.119.104.196,46,40.9151001,-73.78179932,Yes,Duke University,Sophomore,19,Female,Computer Science,NA,No,No,Very Liberal,No,NA,34,25,Yes
152.3.43.2,39,35.9954071,-78.90190125,Yes,Duke University,Senior,22,Male,Computer Science,NA,No,Yes,Very Liberal,No,NA,25,20,Yes
152.3.43.20,46,35.9954071,-78.90190125,Yes,Duke University,Senior,22,Female,Gender Sexuality & Feminist Studies,NA,No,No,Very Liberal,No,NA,25,20,Yes
152.3.43.28,52,35.9954071,-78.90190125,Yes,Duke University,Senior,21,Female,Neuroscience,NA,No,No,Somewhat Liberal,No,NA,25,21,No
152.3.43.21,115,35.9954071,-78.90190125,Yes,Duke University,Sophomore,19,Female,Economics,NA,No,No,"Somewhat Liberal,Very Liberal",No,NA,25,21,No
71.232.13.144,31,42.38000488,-71.13289642,Yes,Duke University,Freshman,18,Female,Biology,NA,Yes,Yes,Somewhat Liberal,Yes,Judaism,24,9,Yes
160.39.198.74,69,40.80059814,-73.96530151,Yes,Duke University,Sophomore,19,Female,Economics,NA,No,No,Somewhat Liberal,No,NA,24,20,Yes
107.77.235.214,77,37.75100708,-97.8219986,Yes,Duke University,Junior,21,Female,Literature,NA,No,No,Very Liberal,No,NA,24,22,Yes
152.3.43.22,37,35.9954071,-78.90190125,Yes,Duke University,Sophomore,19,Female,Visual Arts,NA,No,No,Neither,No,NA,21,18,No
24.163.60.137,61,36.03779602,-78.9858017,Yes,Duke University,Senior,21,Male,Biology,NA,No,Yes,Somewhat Conservative,Yes,Christianity,20,11,Yes
152.3.43.188,108,35.9954071,-78.90190125,Yes,Duke University,Junior,20,Male,Biology,French,No,Yes,Very Liberal,No,NA,20,15,No
152.3.43.36,112,35.9954071,-78.90190125,Yes,Duke University,Sophomore,20,Female,Computer Science,NA,No,No,"Somewhat Liberal,Very Liberal",No,NA,20,2,Yes
174.193.139.132,38,35.13110352,-80.85119629,Yes,Duke University,Senior,22,Male,Sociology,NA,No,Yes,Somewhat Liberal,No,NA,18,17,Yes
152.3.43.23,48,35.9954071,-78.90190125,Yes,Duke University,Sophomore,19,Female,Electrical & Computer Engineering,Computer Science,No,No,Very Liberal,No,NA,17,17,Yes
198.86.29.23,825,35.9954071,-78.90190125,Yes,Duke University,Senior,22,Female,Evolutionary Anthropology,Cultural Anthropology,No,Yes,Very Liberal,Yes,Christianity,17,16,Yes
152.3.43.20,40,35.9954071,-78.90190125,Yes,Duke University,Sophomore,20,Female,Public Policy Studies,NA,No,No,Somewhat Liberal,No,NA,15,3,No
152.3.43.188,44,35.9954071,-78.90190125,Yes,Duke University,Junior,20,Female,Economics,NA,No,Yes,"Neither,Somewhat Liberal",No,NA,15,15,No
152.3.43.2,55,35.9954071,-78.90190125,Yes,Duke University,Senior,21,Female,International Comparative Studies,Global Health,No,No,Somewhat Liberal,No,NA,15,13,No
152.3.43.2,59,35.9954071,-78.90190125,Yes,Duke University,Freshman,18,Female,Public Policy Studies,NA,No,No,Somewhat Conservative,Yes,Islam,15,12,No
76.182.34.92,68,35.94659424,-78.79769897,Yes,Duke University,Junior,21,Female,Mechanical Engineering,NA,No,No,"Somewhat Conservative,Somewhat Liberal",No,NA,15,8,No
152.3.43.21,88,35.9954071,-78.90190125,Yes,Duke University,Senior,21,Female,Computer Science,NA,No,Yes,Somewhat Liberal,No,NA,15,15,Yes
152.3.43.36,228,35.9954071,-78.90190125,Yes,Duke University,Junior,20,Female,Biology ,NA,No,Yes,Very Liberal,No,NA,15,13,No
152.3.43.2,281,35.9954071,-78.90190125,Yes,Duke University,Freshman,19,Female,International Comparative Studies,NA,No,No,Very Liberal,Yes,Christianity,15,6,No
24.163.83.4,87,36.03779602,-78.9858017,Yes,Duke University,Senior,22,Female,Psychology,NA,No,Yes,Very Liberal,No,NA,14,12,Yes
99.203.21.93,53,36.07260132,-79.79199982,Yes,Duke University,Sophomore,19,Female,Neuroscience,NA,No,Yes,Very Liberal,No,NA,13,11,Yes
198.86.29.23,59,35.9954071,-78.90190125,Yes,Duke University,Senior,22,Female,Sociology ,NA,No,Yes,Very Liberal,No,NA,13,12,Yes
198.86.29.23,205,35.9954071,-78.90190125,Yes,Duke University,Sophomore,20,Female,Neuroscience,NA,No,Yes,Somewhat Liberal,No,NA,13,7,No
107.77.233.181,61,32.29879761,-90.18479919,Yes,Duke University,Sophomore,20,Male,Electrical & Computer Engineering,NA,No,Yes,Somewhat Liberal,No,NA,12,7,No
174.194.15.153,70,35.21569824,-80.82620239,Yes,Duke University,Sophomore,19,Female,Biology ,NA,No,No,Very Liberal,Yes,Other,12,6,No
152.3.43.28,93,35.9954071,-78.90190125,Yes,Duke University,Senior,21,Female,Neuroscience,NA,No,Yes,Very Liberal,No,NA,12,10,Yes
152.3.43.2,223,35.9954071,-78.90190125,Yes,Duke University,Freshman,19,Female,Electrical & Computer Engineering,Computer Science,No,No,Somewhat Conservative,Yes,Christianity,12,8,No
152.3.43.188,119,35.9954071,-78.90190125,Yes,Duke University,Sophomore,18,Female,Biology,NA,No,No,Very Liberal,No,NA,11,10,No
174.109.67.205,38,35.9954071,-78.90190125,Yes,Duke University,Senior,22,Male,Economics,NA,No,Yes,Somewhat Liberal,No,NA,10,10,No
198.86.29.23,50,35.9954071,-78.90190125,Yes,Duke University,Freshman,19,Male,Public Policy Studies,NA,Yes,Yes,Somewhat Liberal,Yes,Christianity,10,3,Yes
152.3.43.188,52,35.9954071,-78.90190125,Yes,Duke University,Senior,22,Male,Public Policy Studies,NA,No,No,Very Liberal,Yes,Christianity,10,9,No
152.3.43.24,61,35.9954071,-78.90190125,Yes,Duke University,Sophomore,NA,Female,Biology,Global Health,No,Yes,Very Liberal,No,NA,10,8,Yes
107.77.237.225,63,37.75100708,-97.8219986,Yes,Duke University,Senior,22,Female,Biology,NA,No,Yes,Very Liberal,No,NA,10,8,No
152.3.43.21,64,35.9954071,-78.90190125,Yes,Duke University,Sophomore,20,Male,Public Policy Studies,NA,No,Yes,"Somewhat Liberal,Very Liberal",Yes,Christianity,10,10,No
152.3.43.188,69,35.9954071,-78.90190125,Yes,Duke University,Junior,20,Female,Environmental Science,NA,No,Yes,Very Liberal,No,NA,10,10,No
174.194.26.97,69,35.227005,-79.96209717,Yes,Duke University,Sophomore,19,Female,Economics,Computer Science,No,No,Somewhat Liberal,Yes,Christianity,10,6,No
152.3.43.20,79,35.9954071,-78.90190125,Yes,Duke University,Junior,20,Female,Biomedical Engineering,NA,No,No,Very Liberal,No,NA,10,8,No
198.86.29.23,79,35.9954071,-78.90190125,Yes,Duke University,Junior,21,Female,Computer Science,NA,No,Yes,Somewhat Liberal,Yes,Christianity,10,10,Yes
50.92.180.8,126,49.27670288,-123.1300049,Yes,Duke University,Sophomore,20,Male,Electrical & Computer Engineering,NA,No,Yes,Very Liberal,No,NA,10,6,No
